date_iso;jour;date_source;duree;intitule;pole;commentaire
2027-03-12;Ve;12/3/2027;0,5;RENCONTRE EN APARTE - GRANDIR NATURE;CONFERENCE;creneau 12h-14h30
2027-03-15;Lu;3/15/2027;1;LE SOMMEIL DU TOUT-PETIT (formation propre);SOMMEIL;Session 2/6 - Jour 1/2
2027-03-16;Ma;3/16/2027;1;LE SOMMEIL DU TOUT-PETIT (formation propre);SOMMEIL;Session 2/6 - Jour 2/2
2027-03-18;Je;3/18/2027;1;REAGIR QUAND L'ALLAITEMENT DYSFONCTIONNE : CAS CLINIQUES;EDBN;
2027-03-22;Lu;3/22/2027;1;ALLAITEMENT MATERNEL - LES INDISPENSABLES;EDBN;Jour 1/2
2027-03-23;Ma;3/23/2027;1;ALLAITEMENT MATERNEL - LES INDISPENSABLES;EDBN;Jour 2/2
2027-03-25;Je;3/25/2027;1;ALLAITEMENT PERFECTIONNEMENT;EDBN;
2027-03-30;Ma;3/30/2027;1;ALLAITEMENT MATERNEL - LES INDISPENSABLES;EDBN;Jour 1/2
2027-03-31;Me;3/31/2027;1;ALLAITEMENT MATERNEL - LES INDISPENSABLES;EDBN;Jour 2/2
2027-04-01;Je;1/4/2027;1;LES BASES DE L'ALLAITEMENT (formation propre) - Session 1;FORMATION PROPRE;Jour 1/2
2027-04-02;Ve;2/4/2027;1;LES BASES DE L'ALLAITEMENT (formation propre) - Session 1;FORMATION PROPRE;Jour 2/2
2027-04-05;Lu;5/4/2027;1;ALLAITEMENT MATERNEL - LES INDISPENSABLES;EDBN;Jour 1/2
2027-04-06;Ma;6/4/2027;1;ALLAITEMENT MATERNEL - LES INDISPENSABLES;EDBN;Jour 2/2
2027-04-07;Me;7/4/2027;;LES TROUBLES ALIMENTAIRES PEDIATRIQUES (formation propre);FORMATION PROPRE;Duree non precisee dans le planning
2027-04-08;Je;8/4/2027;1;ATELIER ALLAITEMENT;EDBN;
2027-04-09;Ve;9/4/2027;1;LES TROUBLES ALIMENTAIRES PEDIATRIQUES (formation propre);FORMATION PROPRE;
2027-04-12;Lu;12/4/2027;1;ALLAITEMENT MATERNEL - LES INDISPENSABLES;EDBN;Jour 1/2
2027-04-13;Ma;4/13/2027;1;ALLAITEMENT MATERNEL - LES INDISPENSABLES;EDBN;Jour 2/2
2027-04-15;Je;4/15/2027;0,5;RENCONTRE EN APARTE - GRANDIR NATURE;CONFERENCE;creneau 12h-14h30
2027-04-16;Ve;4/16/2027;1;ALLAITEMENT PERFECTIONNEMENT;EDBN;
2027-04-21;Me;4/21/2027;1;ALLAITEMENT PERFECTIONNEMENT;EDBN;
2027-04-22;Je;4/22/2027;0,5;LE SEVRAGE;EDBN;
2027-04-23;Ve;4/23/2027;1;ATELIER ALLAITEMENT;EDBN;
2027-05-03;Lu;3/5/2027;1;ALLAITEMENT MATERNEL - LES INDISPENSABLES;EDBN;Jour 1/2
2027-05-04;Ma;4/5/2027;1;ALLAITEMENT MATERNEL - LES INDISPENSABLES;EDBN;Jour 2/2
2027-05-10;Lu;10/5/2027;1;ALLAITEMENT MATERNEL - LES INDISPENSABLES;EDBN;Jour 1/2
2027-05-11;Ma;11/5/2027;1;ALLAITEMENT MATERNEL - LES INDISPENSABLES;EDBN;Jour 2/2
2027-05-13;Je;5/13/2027;0,5;RENCONTRE EN APARTE - GRANDIR NATURE;CONFERENCE;creneau 12h-14h30
2027-05-14;Ve;5/14/2027;1;ALLAITEMENT PERFECTIONNEMENT;EDBN;
2027-05-20;Je;5/20/2027;1;LE SOMMEIL DU TOUT-PETIT (formation propre);SOMMEIL;Session 3/6 - Jour 1/2
2027-05-21;Ve;5/21/2027;1;LE SOMMEIL DU TOUT-PETIT (formation propre);SOMMEIL;Session 3/6 - Jour 2/2
2027-05-24;Lu;5/24/2027;1;ALLAITEMENT MATERNEL - LES INDISPENSABLES;EDBN;Jour 1/2
2027-05-25;Ma;5/25/2027;1;ALLAITEMENT MATERNEL - LES INDISPENSABLES;EDBN;Jour 2/2
2027-05-27;Je;5/27/2027;1;ATELIER ALLAITEMENT;EDBN;
2027-05-28;Ve;5/28/2027;1;ALLAITEMENT ET REPRISE DU TRAVAIL (formation propre) 2/3;FORMATION PROPRE;
2027-06-02;Me;2/6/2027;;LES TROUBLES ALIMENTAIRES PEDIATRIQUES (formation propre);FORMATION PROPRE;Duree non precisee dans le planning
2027-06-03;Je;3/6/2027;1;ALLAITEMENT MATERNEL - LES INDISPENSABLES;EDBN;Jour 1/2
2027-06-04;Ve;4/6/2027;1;ALLAITEMENT MATERNEL - LES INDISPENSABLES;EDBN;Jour 2/2
2027-06-07;Lu;7/6/2027;1;ALLAITEMENT MATERNEL - LES INDISPENSABLES;EDBN;Jour 1/2
2027-06-08;Ma;8/6/2027;1;ALLAITEMENT MATERNEL - LES INDISPENSABLES;EDBN;Jour 2/2
2027-06-09;Me;9/6/2027;1;ALLAITEMENT PERFECTIONNEMENT;EDBN;Mercredi travaille (exception)
2027-06-11;Ve;11/6/2027;0,5;RENCONTRE EN APARTE - GRANDIR NATURE;CONFERENCE;creneau 12h-14h30
2027-06-15;Ma;6/15/2027;1;LE SOMMEIL DU TOUT-PETIT (formation propre);SOMMEIL;Session 4/6 - Jour 1/2
2027-06-16;Me;6/16/2027;1;LE SOMMEIL DU TOUT-PETIT (formation propre);SOMMEIL;Session 4/6 - Jour 2/2
2027-06-21;Lu;6/21/2027;1;ALLAITEMENT MATERNEL - LES INDISPENSABLES;EDBN;Jour 1/2
2027-06-22;Ma;6/22/2027;1;ALLAITEMENT MATERNEL - LES INDISPENSABLES;EDBN;Jour 2/2
2027-06-24;Je;6/24/2027;1;LE TIRE-ALLAITEMENT;EDBN;
2027-06-28;Lu;6/28/2027;0,5;LE SEVRAGE;EDBN;
2027-06-29;Ma;6/29/2027;1;ALLAITEMENT MATERNEL - LES INDISPENSABLES;EDBN;Jour 1/2
2027-06-30;Me;6/30/2027;1;ALLAITEMENT MATERNEL - LES INDISPENSABLES;EDBN;Jour 2/2
2027-07-05;Lu;5/7/2027;1;ALLAITEMENT MATERNEL - LES INDISPENSABLES;EDBN;Jour 1/2
2027-07-06;Ma;6/7/2027;1;ALLAITEMENT MATERNEL - LES INDISPENSABLES;EDBN;Jour 2/2
2027-07-08;Je;8/7/2027;1;ALLAITEMENT PERFECTIONNEMENT;EDBN;
2027-07-09;Ve;9/7/2027;1;ATELIER ALLAITEMENT;EDBN;
2027-07-12;Lu;12/7/2027;1;ALLAITEMENT MATERNEL - LES INDISPENSABLES;EDBN;Jour 1/2
2027-07-13;Ma;7/13/2027;1;ALLAITEMENT MATERNEL - LES INDISPENSABLES;EDBN;Jour 2/2
2027-07-19;Lu;7/19/2027;1;ALLAITEMENT MATERNEL - LES INDISPENSABLES;EDBN;Jour 1/2
2027-07-20;Ma;7/20/2027;1;ALLAITEMENT MATERNEL - LES INDISPENSABLES;EDBN;Jour 2/2
2027-07-22;Je;7/22/2027;1;ALLAITEMENT PERFECTIONNEMENT;EDBN;
2027-07-23;Ve;7/23/2027;1;REAGIR QUAND L'ALLAITEMENT DYSFONCTIONNE : CAS CLINIQUES;EDBN;
2027-07-26;Lu;7/26/2027;1;ATELIER ALLAITEMENT;EDBN;
2027-08-30;Lu;8/30/2027;1;ALLAITEMENT MATERNEL - LES INDISPENSABLES;EDBN;Jour 1/2
2027-08-31;Ma;8/31/2027;1;ALLAITEMENT MATERNEL - LES INDISPENSABLES;EDBN;Jour 2/2
2027-09-06;Lu;6/9/2027;1;ALLAITEMENT MATERNEL - LES INDISPENSABLES;EDBN;Jour 1/2
2027-09-07;Ma;7/9/2027;1;ALLAITEMENT MATERNEL - LES INDISPENSABLES;EDBN;Jour 2/2
2027-09-09;Je;9/9/2027;1;ALLAITEMENT PERFECTIONNEMENT;EDBN;
2027-09-13;Lu;9/13/2027;1;LE SOMMEIL DU TOUT-PETIT (formation propre);SOMMEIL;Session 5/6 - Jour 1/2
2027-09-14;Ma;9/14/2027;1;LE SOMMEIL DU TOUT-PETIT (formation propre);SOMMEIL;Session 5/6 - Jour 2/2
2027-09-16;Je;9/16/2027;1;ATELIER ALLAITEMENT;EDBN;
2027-09-16;Je;9/16/2027;0,25;WEBINAIRE CLINIC HALAV - Pain / douleurs;CLINIC HALAV;soiree 45 min a 1h
2027-09-21;Ma;9/21/2027;0,5;RENCONTRE EN APARTE - GRANDIR NATURE;CONFERENCE;12h-15h - forfait 500 EUR a confirmer
2027-09-22;Me;9/22/2027;1;ALLAITEMENT MATERNEL - LES INDISPENSABLES;EDBN;Jour 1/2 (delegue - semaine CFPCO le week-end)
2027-09-23;Je;9/23/2027;1;ALLAITEMENT MATERNEL - LES INDISPENSABLES;EDBN;Jour 2/2
2027-09-25;Sa;9/25/2027;1;FORMATION CFPCO;EXTERNE;Jour 1/2 - week-end - 1 000 EUR/j
2027-09-26;Di;9/26/2027;1;FORMATION CFPCO;EXTERNE;Jour 2/2 - week-end - 1 000 EUR/j
2027-09-27;Lu;9/27/2027;1;ALLAITEMENT MATERNEL - LES INDISPENSABLES;EDBN;Jour 1/2
2027-09-28;Ma;9/28/2027;1;ALLAITEMENT MATERNEL - LES INDISPENSABLES;EDBN;Jour 2/2
2027-09-30;Je;9/30/2027;1;ALLAITEMENT ET PREMATURITE;EDBN;
2027-10-04;Lu;4/10/2027;1;ALLAITEMENT MATERNEL - LES INDISPENSABLES;EDBN;Jour 1/2
2027-10-05;Ma;5/10/2027;1;ALLAITEMENT MATERNEL - LES INDISPENSABLES;EDBN;Jour 2/2
2027-10-06;Me;6/10/2027;1;ATELIER ALLAITEMENT;EDBN;Mercredi travaille (exception 1/2)
2027-10-07;Je;7/10/2027;1;ALLAITEMENT PERFECTIONNEMENT;EDBN;
2027-10-11;Lu;11/10/2027;1;ALLAITEMENT MATERNEL - LES INDISPENSABLES;EDBN;Jour 1/2
2027-10-12;Ma;12/10/2027;1;ALLAITEMENT MATERNEL - LES INDISPENSABLES;EDBN;Jour 2/2
2027-10-13;Me;10/13/2027;;ALLAITEMENT ET REPRISE DU TRAVAIL (formation propre);FORMATION PROPRE;Pole non renseigne dans le planning
2027-10-14;Je;10/14/2027;1;FORMATION DYSKATE;EXTERNE;Jour 1/2
2027-10-15;Ve;10/15/2027;1;FORMATION DYSKATE;EXTERNE;Jour 2/2
2027-10-18;Lu;10/18/2027;1;ALLAITEMENT MATERNEL - LES INDISPENSABLES;EDBN;Jour 1/2
2027-10-19;Ma;10/19/2027;1;ALLAITEMENT MATERNEL - LES INDISPENSABLES;EDBN;Jour 2/2
2027-10-20;Me;10/20/2027;1;LE TIRE-ALLAITEMENT;EDBN;
2027-10-21;Je;10/21/2027;0,5;LE SEVRAGE;EDBN;
2027-10-22;Ve;10/22/2027;1;ATELIER ALLAITEMENT;EDBN;
2027-10-25;Lu;10/25/2027;1;ALLAITEMENT MATERNEL - LES INDISPENSABLES;EDBN;Jour 1/2
2027-10-26;Ma;10/26/2027;1;ALLAITEMENT MATERNEL - LES INDISPENSABLES;EDBN;Jour 2/2
2027-11-02;Ma;2/11/2027;1;LES BASES DE L'ALLAITEMENT (formation propre) - Session 2;FORMATION PROPRE;Jour 1/2
2027-11-03;Me;3/11/2027;1;LES BASES DE L'ALLAITEMENT (formation propre) - Session 2;FORMATION PROPRE;Jour 2/2 - mercredi travaille (exception 1/2)
2027-11-08;Lu;8/11/2027;1;ALLAITEMENT MATERNEL - LES INDISPENSABLES;EDBN;Jour 1/2
2027-11-09;Ma;9/11/2027;1;ALLAITEMENT MATERNEL - LES INDISPENSABLES;EDBN;Jour 2/2
2027-11-10;Me;10/11/2027;;ALLAITEMENT PERFECTIONNEMENT;EDBN;Duree non precisee dans le planning
2027-11-15;Lu;11/15/2027;1;LE SOMMEIL DU TOUT-PETIT (formation propre);SOMMEIL;Session 6/6 - Jour 1/2
2027-11-16;Ma;11/16/2027;1;LE SOMMEIL DU TOUT-PETIT (formation propre);SOMMEIL;Session 6/6 - Jour 2/2
2027-11-18;Je;11/18/2027;1;ATELIER ALLAITEMENT;EDBN;
2027-11-19;Ve;11/19/2027;0,5;RENCONTRE EN APARTE - GRANDIR NATURE;CONFERENCE;creneau 12h-14h30
2027-11-22;Lu;11/22/2027;1;ALLAITEMENT MATERNEL - LES INDISPENSABLES;EDBN;Jour 1/2
2027-11-23;Ma;11/23/2027;1;ALLAITEMENT MATERNEL - LES INDISPENSABLES;EDBN;Jour 2/2
2027-11-24;Me;11/24/2027;1;ALLAITEMENT PERFECTIONNEMENT;EDBN;Mercredi travaille (exception 2/2)
2027-11-29;Lu;11/29/2027;1;FORMATION CLINIC HALAV;CLINIC HALAV;Jour 1/2 - lieu a confirmer
2027-11-30;Ma;11/30/2027;1;FORMATION CLINIC HALAV;CLINIC HALAV;Jour 2/2
2027-12-02;Je;2/12/2027;1;ALLAITEMENT PERFECTIONNEMENT;EDBN;
2027-12-03;Ve;3/12/2027;1;ATELIER ALLAITEMENT;EDBN;
2027-12-06;Lu;6/12/2027;1;ALLAITEMENT MATERNEL - LES INDISPENSABLES;EDBN;Jour 1/2
2027-12-07;Ma;7/12/2027;1;ALLAITEMENT MATERNEL - LES INDISPENSABLES;EDBN;Jour 2/2
2027-12-08;Me;8/12/2027;;ALLAITEMENT ET REPRISE DU TRAVAIL (formation propre);FORMATION PROPRE;Duree non precisee dans le planning
2027-12-09;Je;9/12/2027;1;ALLAITEMENT PERFECTIONNEMENT;EDBN;
2027-12-13;Lu;12/13/2027;1;LE TIRE-ALLAITEMENT;EDBN;
2027-12-14;Ma;12/14/2027;0,5;RENCONTRE EN APARTE - GRANDIR NATURE;CONFERENCE;creneau 12h-14h30
2027-12-15;Me;12/15/2027;1;ALLAITEMENT MATERNEL - LES INDISPENSABLES;EDBN;Jour 1/2 (mercredi - exception)
2027-12-16;Je;12/16/2027;1;ALLAITEMENT MATERNEL - LES INDISPENSABLES;EDBN;Jour 2/2
2027-12-17;Ve;12/17/2027;1;REAGIR QUAND L'ALLAITEMENT DYSFONCTIONNE : CAS CLINIQUES;EDBN;
2027-12-20;Lu;12/20/2027;1;ALLAITEMENT MATERNEL - LES INDISPENSABLES;EDBN;Jour 1/2
2027-12-21;Ma;12/21/2027;1;ALLAITEMENT MATERNEL - LES INDISPENSABLES;EDBN;Jour 2/2
